id,species,pop,origin,contrast,root.depth,emg.height,est.height,ratio,flowering,tot.germ,avg
191,vm,19,as,6,15.8,4.2,10.4,0.47,36,1,13.28571429
192,vm,S33,ad,S2,14.5,6,13.3,1.31,38,0.714285714,15.4
193,vm,20,as,3,14.6,5.1,10.5,0.63,45,0.857142857,14.16666667
194,vm,S33,ad,S2,12.8,6.3,15.4,1.46,35,1,15
195,bh,S2,s,S2,16.2,8.6,20.4,,44,1,13.5
196,vm,19,as,6,14.3,5,11.4,0.65,28,1,12.85714286
197,vm,15,s,15,12.5,3.6,9.1,0.46,53,0.857142857,13.66666667
198,bh,25,s,25,12.6,9.2,29.6,,64,1,12
199,vm,2,ad,15,12.3,5.1,12.4,0.43,47,0.857142857,13
199,vm,2,as,18,12.3,5.1,12.4,0.43,47,0.857142857,13
200,vm,13,s,13,11.4,5,11.8,0.46,42,0.857142857,12.66666667
201,vm,10,as,15,10.8,4.3,13.7,0.59,57,0.857142857,12.33333333
202,vm,S33,ad,S2,10.3,3.6,15.1,0.48,36,0.857142857,14.83333333
203,vm,26,ad,6,15.7,4.4,13.6,0.59,50,0.714285714,15.2
204,vm,20,as,3,11.7,4.1,12.4,0.72,46,0.857142857,13.5
205,bh,3,s,3,16,8.3,20.3,,45,1,14
206,bh,25,s,25,13.2,9.6,29.8,,45,1,13.5
207,vm,26,ad,6,14.2,7.1,16.3,0.94,53,1,15.28571429
208,vm,23,ad,18,13.9,5.2,14.3,0.59,35,1,13
209,vm,18,s,18,15.1,3.4,9.8,0.68,17,0.571428571,13.75
210,vm,9,ad,25,15.7,4.3,12.7,0.7,43,1,14.57142857
211,bh,S2,s,S2,18.3,10.2,26.6,,,1,13.5
212,bh,25,s,25,17,9.2,26.8,,52,1,13.5
213,bh,S2,s,S2,20.3,9.9,26.1,,,1,13
214,vm,9,ad,25,10.9,6.4,16.1,0.68,41,1,14.14285714
215,vm,16,as,13,13,4.6,10.6,0.38,17,0.714285714,13
216,bh,13,s,13,14.4,8.4,26.4,,64,1,14.5
217,vm,25,s,25,15.6,5.2,15.9,0.44,71,1,13
218,vm,5,as,11,19.8,7,13.4,0.74,7,1,14.71428571
219,vm,10,as,15,12.6,4.7,10,0.71,63,1,16
220,bh,3,s,3,17.5,10.5,15.2,,60,1,13.5
221,vm,23,ad,18,13.9,7.6,13.5,0.92,24,1,12.57142857
222,vm,27,ad,11,20.4,6.7,15.5,1.07,17,0.857142857,15.83333333
223,vm,S31,as,S2,12.4,4,8.7,0.63,26,1,13.85714286
224,vm,23,ad,18,10.6,6.6,14.1,0.46,27,1,12.57142857
225,vm,17,as,25,15.2,5,10.9,0.33,53,0.857142857,13.83333333
226,bh,13,s,13,15.5,8.9,28.4,,50,1,14
227,vm,S33,ad,S2,16.3,6.5,14,0.83,29,0.857142857,15.5
228,vm,17,as,25,18.1,7.1,14.8,0.67,35,0.857142857,12.66666667
229,vm,26,ad,6,13.2,5.7,13.1,0.88,52,0.857142857,14
230,vm,3,s,3,12.7,4.5,7.6,0.52,45,0.857142857,13.83333333
231,vm,25,s,25,17.1,5.6,17.5,0.9,67,1,14
232,vm,18,s,18,10.2,3.4,10.9,0.86,14,0.714285714,13.6
233,vm,3,s,3,15.4,4.5,8.2,0.56,45,0.714285714,14.2
234,vm,20,as,3,23.8,8,13,0.61,4,1,13
235,vm,10,as,15,15.3,7.5,16.1,0.61,50,0.714285714,11.4
236,vm,15,s,15,13.7,5.3,9.8,1.07,27,1,13.14285714
237,vm,4,ad,13,12.5,4.5,15,0.45,31,0.714285714,14.2
